,centroid,clusters
213,suggest,"authors suggest, budget, highest, largest, subset, success, suggest, suggested, suggesting, suggestion, suggests"
214,timetime irreversibility,"Ctime irreversibility, Ttime irreversibility, asymmetrytime irreversibility, chargestime irreversibility, chargetime irreversibility, evidencetime irreversibility, freedomtime irreversibility, intervalstime irreversibility, momentumtime irreversibility, seetime irreversibilityconstraint, thermodynamicstime irreversibility, timetime irreversibility, variabletime irreversibility"
215,trying,"Arguing, Trying, acting, adding, arguing, asking, baryonic, betraying, brings, carrying, dragging, forcing, forming, growing, justifying, moving, noting, obeying, probing, saying, studying, stumbling, taking, thinking, throwing, trailing, trick, troubling, trying, turning, warning, working, wrong"
216,angular momentum,"Planck momentum, angular momenta, angular momentum, angular momentumblack, angular momentumdiscrete, angular momentumrelativistic, angular momentumtime, angular variable, complex momentum, invariant momentum, reverse momentum, seeangular momentum, singularityquantum, total momentum"
217,constitute,"conjecture, constantvacuum, constituent, constitute, constitute serious, constituted, constitutes, constructs, hole constitutes"
218,contribute,"contemplate, contribute, contributed, contributes, contributing, contribution, contributions, counter-intuitive"
219,convention,"combination, conception, conceptions, condition, conjugation, conjunction, connecting, convenient, convention, conventional, conventionally, conventions, conversion, correction, misconception"
220,developed,"develop, developed, developed alongside, developed mostly, developing, developments, develops, travel paradox"
221,energy signs,"action signs, charge signs, eminent figures, energiesrest, energy Dirac's, energy exists, energy field, energy flows, energy sign, energy signs, energy spent, energy stars, energy tends, energy terms, energyaxioms, frequency signs, same-energy-sign"
222,noted,"Instead, added, adopted, cited, instead, named, none, note, noted, notice, noticed, pointed"
223,operations time-related,"affecting time-related, operations formulated, operations space-related, operations time-related"
224,produce invariance,"allowed invariance, explicit invariance, impose invariance, postulated invariance, primordial importance, produce invariance, regain invariance, require invariance, verify invariance"
225,properly defined,"clearly defined, formula defines, probably justified, properly answering, properly conceived, properly defined, properly identified, properties defined, property dependent, property specific"
226,relationally,"conceal totally, exceptionally, location follows, merely locally, non-relationally, rarity Finally, rationally, relational, relational aspect, relational view, relationally, relationship, relationships, remains totally, traditionally"
227,solution,"Condition, consolation, dilation, evolution, intuition, opinion, past evolution, resolution, section, situation, solution, solution turns, solutions, solutiontime, subtleties"
228,bidirectional timediscrete,"bidirectional timeblack, bidirectional timediscrete, unidirectional timediscrete"
229,compensated,"com Updated, compensate, compensated, compensating, compensation, compensations, component directed, uncompensated"
230,energy associated,"charge associated, density associated, elements associated, energies associated, energy associated, energy effected, entropy associated, necessarily associated, ordinarily associate, polarity associated, reference associated, reversal associated, source associated, stress-energy associated, uncertainty associated, usually associated"
231,energyvacuum energy,"energyvacuum charge, energyvacuum energy, entropyvacuum energy"
232,field theory,field theory
233,increase,"decrease, decreased, increase, increased, increases, increasing, increasingly, intrinsic, unease"
234,interact,"Ernst Mach, artefact, bodies interact, important, inadequacy, integral, integrals, interact, interacted, interacts, interface, intervals, misinterpret"
235,lower,"clever, closer, govern, layer, layers, lesser, longer, loosen, lose, lovers, low, lower, lowering, lowest, modern, powerful, pull-over, slower, slowly"
236,momenta,"Lorentz, momenta, momentablack, momentary, moments, somewhat"
237,negligible,"forces negligible, longer negligible, negligibility, negligible, negligible factor, negligibly, non-negligible, unexplainable"
238,operations invariance,"guarantees invariance, operations invariance, wavefunctions invariant"
239,understanding,"deep understanding, elevator standing, misunderstanding, outstanding, today's standards, uncertain domain, uncertainties, underpinning, understand concerning, understanding, understanding unveiled, undertaking"
240,accelerated,"Wheeler argued, accelerate, accelerated, accelerated frame, accelerated mass, accelerates, accelerators, allows accelerated, decelerates, elevator accelerated"
241,action reversal,"action reversal, actiongeneral, adding thermal, additional reversal, apparent reversal, changing reversals, charge reversal, definition reversal, fiction lovers, freedom reversal, identify reversal, priori reversal, simple reversal, spacetime reversal, various reversal"
242,classical theory,"classical historical, classical phenomenon, classical physics, classical theory, classical thermodynamics, original theory, physical theory, semi-classical theory"
243,coordinate,"coordinate, coordinate axes, coordinated, coordinates, coordinatestime, coordination, coordinative, ordinance"
244,cosmological constant,"cosmological constant, cosmological constantgeneral, cosmological constantvacuum, cosmological context, cosmological viewpoint, technological constraints"
245,direct interaction,"apparent contradiction, attractive interaction, direct confirmation, direct interaction, direct interactions, direct observation, directly influencing, directly interact, fieldinteraction, indirect interaction, mutual interactions, nuclear interaction, particle interactions, weak interaction"
246,gives rise,"choices exist, cited paper, gives rise, gives rises, giving rise, higher rate, rises faster"
247,imply,"Impl, ample, apply, empty, highly, impact, imply, input, likely, quickly, simple, simpler, simplify, simply, simply add, simply due, tightly, visibly, widely"
248,missing positive,"assigned positive, emitting positive, maintained positive, maintaining positive, missing inside, missing negative, missing positive, moving positive, non-vanishing positive, observing positive, using positive"
249,momentum direction,"momentum direction, momentum directiondiscrete, momentum directionnegative, momentum directionquantum, momentum directions, momentum unaffected, momentumtime direction"
250,momentumblack hole,"momentablack hole, momentum naturally, momentumblack, momentumblack hole"
251,negative contributions,"assume contributions, distinct contribution, maximum contributions, negative contribution, negative contributions, negative contributionsconstraint, negative contributionsdiscrete, negative contributionsequations, negative contributionsnegative, negative contributionsvacuum, opposite contribution, opposite contributions, positive contribution, positive contributions, regarding attribution, relevant contributions"
252,negative vacuum,"decay problemvacuum, densitiesvacuum, negative densitiesvacuum, negative local, negative momentum, negative vacuum, negative value, negative values, respective vacuums, violationvacuum, zero-point vacuum"
253,outcome,"outcome, outcomes, outline, output, outside"
254,positions,"Motivations, collisions, combinations, compositions, conditions, horizons, pointing, portions, positions, positions remain, positive, positively, positron, positron retains, positrons, superposition, suspicious"
255,quantum gravitational,"momentumgravitational, quantized gravitational, quantum gravitation, quantum gravitational, quantum gravitationblack, quantum gravity"
